0.746,MOTU_ID,Measurement_number,Cell_length,Cell_length_units,Cell_width,Cell_width_units,Cell_area,Cell_area_units,Gram_positive_or_negative,Endospore_yes_no,Endospore_type,Capsule_yes_no,
Morgan,R1,3,2.07,μm,0.62,μm,1.264,μm²,negative,no,NA,no,M 1.1
Morgan,R1,4,2.15,μm,0.64,μm,1.367,μm²,negative,no,NA,no,CV 1.1
Morgan,R1,5,2.73,μm,0.79,μm,1.975,μm²,negative,no,NA,no,Gram's ?
Morgan,R2,1,0.78,μm,0.75,μm,0.454,μm²,negative,,,no,CV 2.2
Morgan,R2,2,0.79,μm,0.82,μm,0.561,μm²,negative,,,no,G 2.2
Morgan,R2,3,0.73,μm,0.72,μm,0.423,μm²,negative,,,no,G 2.1
Morgan,R2,4,0.75,μm,0.63,μm,0.375,μm²,negative,,,no,CV 2.1
Morgan,R2,5,0.66,μm,0.69,μm,0.336,μm²,negative,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
Morgan,,,,μm,,μm,,μm²,,,,no,
,,,,,,,,,,,,,
Maggie Chen,1,1,0.61,μm,0.61,μm,0.253,μm²,positive,no,n/a,no,
Maggie Chen,1,2,0.75,μm,0.75,μm,0.526,μm²,positive,no,n/a,no,
Maggie Chen,1,3,0.86,μm,0.86,μm,0.518,μm²,positive,no,n/a,no,
Maggie Chen,1,4,0.59,μm,0.59,μm,0.352,μm²,positive,no,n/a,no,
Maggie Chen,1,5,0.55,μm,0.55,μm,0.364,μm²,positive,no,n/a,no,
Maggie Chen,2,1,1.13,μm,1.13,μm,1.191,μm²,negative,no,n/a,no,
Maggie Chen,2,2,1.05,μm,1.05,μm,1.147,μm²,negative,no,n/a,no,
Maggie Chen,2,3,1.09,μm,1.09,μm,1.286,μm²,negative,no,n/a,no,
Maggie Chen,2,4,1,μm,1,μm,0.997,μm²,negative,no,n/a,no,
Maggie Chen,2,5,0.95,μm,0.95,μm,0.949,μm²,negative,no,n/a,no,
Maggie Chen,3,1,1.13,μm,1.13,μm,1.4,μm²,positive,no,n/a,no,
Maggie Chen,3,2,1.09,μm,1.09,μm,1.036,μm²,positive,no,n/a,no,
Maggie Chen,3,3,0.83,μm,0.83,μm,0.89,μm²,positive,no,n/a,no,
Maggie Chen,3,4,1.14,μm,1.31,μm,1.337,μm²,positive,no,n/a,no,
Maggie Chen,3,5,1.14,μm,1.14,μm,1.195,μm²,positive,no,n/a,no,
Maggie Chen,4,1,1.22,μm,1.22,μm,1.313,μm²,negative,no,n/a,no,
Maggie Chen,4,2,1.09,μm,1.09,μm,1.25,μm²,negative,no,n/a,no,
Maggie Chen,4,3,1.07,μm,0.91,μm,0.882,μm²,negative,no,n/a,no,
Maggie Chen,4,4,1.06,μm,1.06,μm,1.104,μm²,negative,no,n/a,no,
Maggie Chen,4,5,1.05,μm,1.05,μm,1.088,μm²,negative,no,n/a,no,
Maggie Chen,5,1,1.09,μm,1.09,μm,1.017,μm²,positive,no,n/a,no,
Maggie Chen,5,2,0.98,μm,0.98,μm,0.941,μm²,positive,no,n/a,no,
Maggie Chen,5,3,1.04,μm,1.04,μm,1.009,μm²,positive,no,n/a,no,
